order_id,customer_id,product_id,order_date,quantity,unit_price,shipping_cost,total_amount,profit,order_status
1,8255,11092,2026-01-01,4,8.07,2.71,32.28,7.24,Delivered
2,3244,19192,2025-10-03,1,8.89,2.03,8.89,2.58,Cancelled
3,1355,21656,2025-02-20,3,246.63,6.25,739.89,198.54,Shipped
4,2294,11404,2025-03-02,3,11.99,6.88,35.97,3.99,Delivered
5,5555,7099,2025-09-04,2,13.42,2.82,26.84,2.76,Delivered
6,5158,5673,2025-02-13,1,3.24,10.3,3.24,0.38,Cancelled
7,6334,24944,2025-10-27,2,10.0,2.79,20.0,2.81,Shipped
8,8395,28915,2026-03-02,4,15.19,3.93,60.76,11.4,Cancelled
9,6654,3188,2025-03-18,1,38.0,6.66,38.0,7.68,Shipped
10,7714,5638,2025-07-26,1,23.41,10.66,23.41,2.4,Cancelled
11,7707,9799,2025-09-04,5,161.26,2.66,806.3,180.03,Shipped
12,8333,8112,2025-02-14,2,24.7,11.66,49.4,14.09,Cancelled
13,772,11439,2024-05-17,4,19.4,4.71,77.6,20.47,Shipped
14,470,16675,2025-08-01,1,30.45,4.79,30.45,6.81,Delivered
15,7557,16932,2025-05-26,4,54.0,8.8,216.0,44.18,Delivered
16,9463,10409,2025-05-06,3,39.99,4.15,119.97,28.56,Shipped
17,9170,14508,2025-03-28,4,90.85,14.57,363.4,61.18,Delivered
18,7427,4518,2025-10-23,2,220.49,3.17,440.98,47.4,Delivered
19,2103,22895,2025-07-19,2,13.78,4.76,27.56,3.87,Shipped
20,191,17891,2025-09-06,2,9.99,9.77,19.98,3.45,Cancelled
21,2016,20269,2025-01-13,4,13.95,7.05,55.8,6.36,Delivered
22,4134,21992,2025-09-27,3,7.67,2.83,23.01,2.45,Delivered
23,1326,6068,2026-02-18,5,229.02,10.91,1145.1,149.19,Cancelled
24,274,18112,2024-09-26,3,9.97,7.49,29.91,5.93,Shipped
25,9483,11539,2024-12-30,1,17.19,8.37,17.19,2.12,Cancelled
26,5547,8280,2025-03-13,5,212.36,11.51,1061.8,155.83,Delivered
27,1733,559,2024-07-16,2,4.88,8.82,9.76,2.06,Shipped
28,5482,11935,2025-10-19,3,8.76,10.61,26.28,3.54,Cancelled
29,7094,29448,2025-12-08,1,129.99,10.57,129.99,33.89,Delivered
30,2099,22756,2025-09-05,5,6.48,7.24,32.4,4.55,Delivered
31,9704,19163,2025-09-09,1,15.74,2.58,15.74,3.3,Cancelled
32,4127,10298,2025-06-14,3,82.88,2.69,248.64,72.52,Cancelled
