shipping_id,order_id,shipping_provider,shipping_region,delivery_days,shipping_status
1,1,UPS,Midwest,6,Delivered
2,2,USPS,Midwest,10,Delayed
3,3,FedEx,West,1,Delivered
4,4,UPS,East,4,Delivered
5,5,DHL,East,3,In Transit
6,6,FedEx,South,7,In Transit
7,7,USPS,Midwest,1,In Transit
8,8,FedEx,Midwest,3,Delivered
9,9,DHL,West,8,In Transit
10,10,USPS,West,5,Delivered
11,11,DHL,Midwest,10,Delivered
12,12,UPS,East,7,In Transit
13,13,DHL,East,3,Delivered
14,14,UPS,South,5,Delayed
15,15,DHL,East,3,Delivered
16,16,DHL,Midwest,10,Delayed
17,17,DHL,East,6,Delivered
18,18,UPS,South,6,Delayed
19,19,DHL,West,9,In Transit
20,20,USPS,South,8,In Transit
21,21,FedEx,South,10,Delayed
22,22,USPS,Midwest,10,In Transit
23,23,UPS,West,2,Delivered
24,24,USPS,West,9,Delayed
25,25,USPS,East,5,Delivered
26,26,DHL,East,4,Delayed
27,27,FedEx,West,9,Delivered
28,28,FedEx,South,1,In Transit
29,29,FedEx,Midwest,7,Delayed
30,30,FedEx,Midwest,1,Delayed
31,31,FedEx,East,6,Delivered
32,32,DHL,West,8,In Transit
33,33,DHL,South,6,Delayed
34,34,USPS,West,10,Delayed
35,35,FedEx,South,1,Delivered
36,36,FedEx,South,4,Delayed
37,37,USPS,Midwest,9,Delayed
38,38,FedEx,South,8,In Transit
39,39,FedEx,West,9,Delayed
40,40,USPS,South,8,Delivered
41,41,USPS,Midwest,3,Delivered
42,42,UPS,Midwest,4,Delivered
43,43,USPS,Midwest,6,Delivered
44,44,DHL,Midwest,2,In Transit
45,45,DHL,East,1,Delayed
46,46,DHL,Midwest,10,Delayed
47,47,DHL,East,2,Delayed
48,48,USPS,South,3,Delayed
49,49,DHL,Midwest,2,Delivered
50,50,FedEx,West,3,In Transit
51,51,DHL,South,9,Delivered
52,52,DHL,Midwest,10,Delayed
53,53,USPS,Midwest,6,In Transit
54,54,UPS,South,5,In Transit
55,55,FedEx,West,9,Delivered
56,56,USPS,Midwest,10,Delayed
57,57,USPS,West,1,In Transit
58,58,DHL,East,1,Delivered
59,59,USPS,West,4,Delayed
60,60,DHL,South,5,In Transit
61,61,DHL,West,1,Delayed
62,62,FedEx,Midwest,4,In Transit
63,63,DHL,South,2,Delayed
64,64,DHL,Midwest,10,Delivered
65,65,FedEx,West,4,Delivered
66,66,DHL,East,6,Delayed
67,67,UPS,East,3,Delayed
68,68,DHL,East,1,Delayed
69,69,FedEx,East,7,In Transit
70,70,FedEx,Midwest,3,In Transit
71,71,UPS,West,2,Delayed
72,72,FedEx,West,8,Delayed
73,73,DHL,Midwest,8,In Transit
74,74,USPS,Midwest,7,In Transit
75,75,FedEx,East,8,Delayed
76,76,FedEx,Midwest,2,In Transit
77,77,UPS,West,1,In Transit
78,78,DHL,South,3,Delayed
79,79,UPS,Midwest,1,Delivered
80,80,USPS,East,9,Delivered
81,81,FedEx,Midwest,7,In Transit
82,82,FedEx,East,1,Delayed
83,83,FedEx,West,8,Delivered
84,84,UPS,Midwest,3,In Transit
85,85,FedEx,South,1,Delivered
86,86,USPS,East,5,In Transit
87,87,USPS,Midwest,5,In Transit
88,88,FedEx,Midwest,4,Delayed
89,89,FedEx,Midwest,1,In Transit
90,90,FedEx,South,9,Delayed
91,91,USPS,South,1,Delivered
92,92,DHL,East,4,Delivered
93,93,USPS,South,8,In Transit
94,94,DHL,South,8,In Transit
95,95,FedEx,West,3,Delayed
96,96,USPS,South,1,Delayed
97,97,USPS,East,2,Delayed
98,98,USPS,Midwest,4,In Transit
99,99,FedEx,East,2,Delivered
100,100,UPS,West,6,In Transit
101,101,DHL,West,6,Delayed
102,102,UPS,Midwest,8,Delivered
103,103,USPS,East,10,In Transit
104,104,USPS,South,9,In Transit
105,105,UPS,East,8,In Transit
106,106,DHL,East,1,In Transit
107,107,FedEx,Midwest,9,In Transit
108,108,DHL,Midwest,4,Delivered
109,109,FedEx,West,5,Delivered
110,110,DHL,East,3,Delayed
111,111,FedEx,West,7,In Transit
112,112,DHL,Midwest,8,Delivered
113,113,DHL,East,7,Delayed
114,114,USPS,West,5,Delayed
115,115,USPS,West,2,In Transit
116,116,DHL,West,1,Delayed
117,117,USPS,South,7,Delivered
118,118,UPS,West,6,Delayed
119,119,FedEx,East,7,In Transit
120,120,DHL,East,6,In Transit
121,121,UPS,Midwest,1,Delivered
122,122,FedEx,East,7,Delivered
123,123,USPS,East,8,In Transit
124,124,USPS,West,2,Delivered
125,125,DHL,Midwest,8,Delayed
126,126,DHL,West,5,Delayed
127,127,FedEx,South,5,In Transit
128,128,FedEx,East,6,Delivered
129,129,DHL,Midwest,4,In Transit
130,130,DHL,West,8,Delivered
131,131,FedEx,South,8,In Transit
132,132,USPS,East,8,Delivered
133,133,FedEx,East,9,Delayed
134,134,USPS,South,7,Delivered
135,135,UPS,South,3,In Transit
136,136,DHL,East,10,Delivered
137,137,FedEx,Midwest,6,In Transit
138,138,USPS,Midwest,6,In Transit
139,139,DHL,Midwest,6,Delayed
140,140,UPS,East,3,Delayed
141,141,UPS,East,5,Delayed
142,142,DHL,Midwest,4,Delayed
143,143,UPS,West,4,Delayed
144,144,FedEx,South,3,In Transit
145,145,FedEx,South,9,Delivered
146,146,UPS,Midwest,5,Delayed
147,147,DHL,Midwest,2,In Transit
148,148,FedEx,West,3,In Transit
149,149,USPS,Midwest,6,Delivered
150,150,FedEx,Midwest,4,In Transit
151,151,UPS,South,2,Delayed
152,152,DHL,Midwest,9,In Transit
153,153,USPS,Midwest,9,Delayed
154,154,UPS,South,4,In Transit
155,155,UPS,West,7,Delivered
156,156,UPS,Midwest,10,Delivered
157,157,UPS,Midwest,7,In Transit
158,158,FedEx,Midwest,6,In Transit
159,159,USPS,Midwest,7,Delayed
160,160,USPS,Midwest,5,Delivered
161,161,USPS,West,7,In Transit
162,162,FedEx,West,1,Delayed
163,163,UPS,East,8,In Transit
164,164,DHL,South,6,Delayed
165,165,DHL,East,1,Delayed
166,166,FedEx,South,6,Delayed
167,167,DHL,Midwest,9,Delayed
168,168,FedEx,West,4,Delivered
169,169,FedEx,West,2,In Transit
170,170,USPS,East,6,Delivered
171,171,DHL,Midwest,9,Delivered
172,172,USPS,South,2,Delayed
173,173,UPS,East,7,In Transit
174,174,UPS,West,9,Delivered
175,175,FedEx,South,1,Delayed
176,176,FedEx,Midwest,4,Delivered
